delay,time,packets
0,0.07343053817749023,7066.0
1,0.09100484848022461,7088.0
2,0.11050891876220703,7220.0
3,0.10358381271362305,7113.0
4,0.11187529563903809,7073.0
5,0.13498139381408691,7236.0
6,0.13917136192321777,7122.0
7,0.14937424659729004,7080.0
8,0.18117165565490723,7189.0
9,0.1666431427001953,7120.0
10,0.2305774688720703,7246.0
11,0.2028663158416748,7118.0
12,0.22435307502746582,7149.0
13,0.31088852882385254,7077.0
14,0.24175095558166504,7091.0
15,0.24821162223815918,7109.0
16,0.2914247512817383,7229.0
17,0.2903280258178711,7161.0
18,0.2895786762237549,7164.0
19,0.299405574798584,7150.0
20,0.3091909885406494,7164.0
21,0.32517051696777344,7138.0
22,0.3347513675689697,7145.0
23,0.45125770568847656,7217.0
24,0.388103723526001,7328.0
25,0.4151604175567627,7297.0
26,0.38727498054504395,7176.0
27,0.466188907623291,7214.0
28,0.41144347190856934,7102.0
29,0.42652034759521484,7159.0
30,0.4729006290435791,7182.0
31,0.5910725593566895,7253.0
32,0.4692652225494385,7223.0
33,0.551494836807251,7316.0
34,0.4937784671783447,7201.0
35,0.5640606880187988,7382.0
36,0.6845407485961914,7371.0
37,0.5391435623168945,7379.0
38,0.5869002342224121,7391.0
39,0.6418890953063965,7335.0
40,0.6070349216461182,7144.0
41,0.6363937854766846,7204.0
42,0.639840841293335,7325.0
43,0.7270643711090088,7310.0
44,0.6175937652587891,7257.0
45,0.6447184085845947,7305.0
46,0.6483097076416016,7218.0
47,0.7150669097900391,7200.0
48,0.717108964920044,7114.0
49,0.741286039352417,7221.0
50,0.7616186141967773,7255.0
51,0.8803562164306641,7361.0
52,0.8761289119720459,7362.0
53,0.7370765209197998,7230.0
54,0.7546067237854004,7273.0
55,0.7754349708557129,7215.0
56,0.9648556709289551,7289.0
57,0.797269344329834,7198.0
58,1.0486335754394531,7336.0
59,0.820683479309082,7228.0
60,0.9467241764068604,7328.0
61,0.8484899997711182,7244.0
62,0.9335908889770508,7299.0
63,1.0654702186584473,7216.0
64,0.9541511535644531,7337.0
65,1.0358502864837646,7376.0
66,0.981489896774292,7337.0
67,0.9298851490020752,7144.0
68,1.081566572189331,7319.0
69,1.0131077766418457,7113.0
70,1.0304069519042969,7161.0
71,0.9902598857879639,7191.0
72,1.1443018913269043,7206.0
73,1.0112807750701904,7278.0
74,1.0137825012207031,7338.0
75,1.036419153213501,7408.0
76,1.0531535148620605,7372.0
77,1.2266595363616943,7411.0
78,1.2310389518737793,7317.0
79,1.1986312866210938,7234.0
80,1.1408207416534424,7279.0
81,1.1438841819763184,7383.0
82,1.2089807987213135,7184.0
83,1.132779836654663,7268.0
84,1.154700517654419,7251.0
85,1.1602497100830078,7304.0
86,1.1853575706481934,7332.0
87,1.184887170791626,7229.0
88,1.3785364627838135,7375.0
89,1.2989168167114258,7320.0
90,1.4422574043273926,7479.0
91,1.3307487964630127,7450.0
92,1.2677171230316162,7400.0
93,1.3492451190948486,7398.0
94,1.3849458694458008,7458.0
95,1.4098231792449951,7419.0
96,1.299346685409546,7312.0
97,1.5160918235778809,7317.0
98,1.3978369235992432,7211.0
99,1.443809986114502,7356.0
100,1.4613311290740967,7312.0